timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID
230805-134820,msf,thar,,f,1,mylo,m,8,,na
230805-141535,msf,haru,,m,1,haru,f,10,,na
230805-141535,msf,haru,,m,1,mylo,m,4,,na
230805-141535,msf,haru,,m,1,mylo,f,7,,na
230806-073715,solo,myhy,,m,0,na,,,,na
230806-075427,pair,mylo,,m,0,mylo,f,1,,na
230806-094904,solo,sigr,,u,0,na,,,,na
230806-104238,msf,moni,,u,0,moni,u,6,,na
230806-104238,msf,moni,,u,0,tasc,f,7,,na
230806-104238,msf,moni,,u,0,tasc,m,9,,na
230806-104238,msf,moni,,u,0,lolu,m,9,,na
230806-111141,solo,moni,,u,0,na,,,,na
230807-071222,msf,thar,,m,1,thar,f,7,a,1
230807-071222,msf,thar,,m,1,haru,m,5,a,1
230807-071222,msf,thar,,m,1,haru,f,9,a,1
230807-071222,msf,thar,,m,1,tasc,m,11,a,1
230807-071222,msf,thar,,m,1,tasc,f,11,a,1
230807-083013,msf,xigu,,u,0,sama,u,4,a,1
230807-083013,msf,xigu,,u,0,haru,m,11,a,1
230807-083013,msf,xigu,,u,0,haru,f,12,a,1
230807-083013,msf,xigu,,u,0,thar,m,18,c,2
230807-083013,msf,xigu,,u,0,deru,u,12,u,
230810-094606,msf,thar,,m,1,thar,f,6,a,1
230810-094606,msf,thar,,m,1,xigu,u,3,f,3
230810-094606,msf,thar,,m,1,myax,m,4,c,2
230810-094606,msf,thar,,m,1,myax,f,6,c,2
230810-094606,msf,thar,,m,1,mylo,m,8,u,
230810-094606,msf,thar,,m,1,mylo,f,8,c,2
230810-094606,msf,thar,,m,1,tasc,m,4,c,2
230810-094606,msf,thar,,m,1,leam,u,10,u,
230810-111956,msf,thar,,m,1,mylo,m,17,u,
230810-111956,msf,thar,,m,1,mylo,f,17,u,
230810-111956,msf,thar,,m,1,myax,m,15,u,
230810-111956,msf,thar,,m,1,thar,f,14,u,
230810-111956,msf,thar,,m,1,xigu,u,20,u,
